Name,PV_File,WIND_File
AZV_Erdinger_Moos,PV_AZV_Erdinger_Moos_20150101-20241231_merra2_116c94f817.csv,Wind_AZV_Erdinger_Moos_20150101-20241231_merra2_a6d7f2589a.csv
Erlangen,PV_Erlangen_20150101-20241231_merra2_09bc10e962.csv,Wind_Erlangen_20150101-20241231_merra2_a6d7f2589a.csv
Rosenheim,PV_Rosenheim_20150101-20241231_merra2_365d0c7928.csv,Wind_Rosenheim_20150101-20241231_merra2_a6d7f2589a.csv
Kläranlage_Seehausen,PV_Kläranlage_Seehausen_20150101-20241231_merra2_e8d919f64a.csv,Wind_Kläranlage_Seehausen_20150101-20241231_merra2_a6d7f2589a.csv
Frankfurt_am_Main_Sindlingen,PV_Frankfurt_am_Main_Sindlingen_20150101-20241231_merra2_dff9f75620.csv,Wind_Frankfurt_am_Main_Sindlingen_20150101-20241231_merra2_a6d7f2589a.csv
Wiesbaden_Mitte,PV_Wiesbaden_Mitte_20150101-20241231_merra2_dff9f75620.csv,Wind_Wiesbaden_Mitte_20150101-20241231_merra2_a6d7f2589a.csv
Klärwerksverbund_Köhlbrandhöft_Dradenau,PV_Klärwerksverbund_Köhlbrandhöft_Dradenau_20150101-20241231_merra2_1005c77946.csv,Wind_Klärwerksverbund_Köhlbrandhöft_Dradenau_20150101-20241231_merra2_a6d7f2589a.csv
2530002102_KA_Herrenhausen,PV_2530002102_KA_Herrenhausen_20150101-20241231_merra2_aaef4f714e.csv,Wind_2530002102_KA_Herrenhausen_20150101-20241231_merra2_a6d7f2589a.csv
2530142095_KA_Gümmerwald,PV_2530142095_KA_Gümmerwald_20150101-20241231_merra2_aaef4f714e.csv,Wind_2530142095_KA_Gümmerwald_20150101-20241231_merra2_a6d7f2589a.csv
2550232001_KA_Holzminden,PV_2550232001_KA_Holzminden_20150101-20241231_merra2_466aadda05.csv,Wind_2550232001_KA_Holzminden_20150101-20241231_merra2_a6d7f2589a.csv
3520112001_KA_Cuxhaven,PV_3520112001_KA_Cuxhaven_20150101-20241231_merra2_f2393b5c8e.csv,Wind_3520112001_KA_Cuxhaven_20150101-20241231_merra2_a6d7f2589a.csv
Aachen-Soers,PV_Aachen-Soers_20150101-20241231_merra2_e8b4962e34.csv,Wind_Aachen-Soers_20150101-20241231_merra2_a6d7f2589a.csv
Dortmund-Deusen,PV_Dortmund-Deusen_20150101-20241231_merra2_22f8980d0b.csv,Wind_Dortmund-Deusen_20150101-20241231_merra2_a6d7f2589a.csv
Bottrop,PV_Bottrop_20150101-20241231_merra2_22f8980d0b.csv,Wind_Bottrop_20150101-20241231_merra2_a6d7f2589a.csv
